x,y,z
20021,33969,67070
20241,33939,67070
19956,34014,67070
20459,34021,67070
20518,33991,67070
21246,34029,67070
21378,33986,67070
21513,34025,67070
21577,34032,67070
19461,34092,67070
19531,34111,67070
19633,34065,67070
19892,34069,67070
20049,34072,67070
21417,34076,67070
21529,34087,67070
21579,34083,67070
21647,34054,67070
21732,34102,67070
21763,34057,67070
19324,34164,67070
19416,34169,67070
19943,34126,67070
20061,34167,67070
21075,34115,67070
21295,34152,67070
21622,34138,67070
21714,34157,67070
21851,34124,67070
21972,34128,67070
22130,34149,67070
19237,34239,67070
19533,34177,67070
19795,34202,67070
19969,34213,67070
20919,34191,67070
21068,34180,67070
21165,34179,67070
21349,34181,67070
21412,34195,67070
21483,34217,67070
21559,34200,67070
21640,34224,67070
21776,34226,67070
21907,34231,67070
22054,34204,67070
19079,34301,67070
19157,34241,67070
19256,34303,67070
19316,34262,67070
19400,34268,67070
19575,34276,67070
19666,34245,67070
19942,34275,67070
20000,34295,67070
20031,34271,67070
20943,34251,67070
20997,34259,67070
21134,34273,67070
21284,34253,67070
21367,34259,67070
21477,34299,67070
21598,34295,67070
21655,34279,67070
21753,34271,67070
21715,34270,67070
21810,34303,67070
21869,34293,67070
21922,34294,67070
21988,34243,67070
21958,34269,67070
22016,34288,67070
22080,34293,67070
19178,34360,67070
19353,34344,67070
19477,34318,67070
19622,34351,67070
19729,34345,67070
19863,34339,67070
20373,34326,67070
20796,34304,67070
20900,34306,67070
21368,34304,67070
21704,34320,67070
21711,34361,67070
21821,34345,67070
21769,34326,67070
21869,34342,67070
21838,34312,67070
21907,34330,67070
21962,34320,67070
22087,34360,67070
22330,34354,67070
19252,34372,67070
19328,34427,67070
19540,34417,67070
19714,34417,67070
19955,34374,67070
20827,34377,67070
21100,34384,67070
21297,34374,67070
21408,34406,67070
21591,34384,67070
21787,34415,67070
21815,34393,67070
21856,34418,67070
21914,34430,67070
21908,34376,67070
22016,34398,67070
22131,34390,67070
22094,34428,67070
18903,34462,67070
19056,34438,67070
19151,34460,67070
19246,34447,67070
19416,34466,67070
19648,34449,67070
20015,34490,67070
20972,34434,67070
20974,34485,67070
21017,34487,67070
21049,34465,67070
21100,34476,67070
21617,34470,67070
21657,34450,67070
21932,34484,67070
21982,34476,67070
22066,34469,67070
22149,34464,67070
22622,34481,67070
18893,34527,67070
18924,34551,67070
19054,34524,67070
19161,34558,67070
19202,34528,67070
19310,34525,67070
19558,34516,67070
19668,34547,67070
19833,34502,67070
20828,34525,67070
21002,34521,67070
21025,34540,67070
21030,34516,67070
21036,34497,67070
21071,34518,67070
21120,34508,67070
21184,34502,67070
21292,34541,67070
21377,34554,67070
21448,34502,67070
21518,34551,67070
21566,34552,67070
21568,34501,67070
21605,34512,67070
21585,34530,67070
21605,34549,67070
21641,34532,67070
21645,34497,67070
21777,34505,67070
21932,34531,67070
21968,34520,67070
22090,34538,67070
22230,34510,67070
18911,34620,67070
18996,34573,67070
18960,34611,67070
19602,34584,67070
19649,34587,67070
19697,34617,67070
20040,34601,67070
20122,34572,67070
20987,34591,67070
21042,34581,67070
21034,34606,67070
21024,34569,67070
21069,34609,67070
21080,34579,67070
21167,34595,67070
21411,34578,67070
21439,34615,67070
21461,34580,67070
21493,34586,67070
21528,34600,67070
21560,34582,67070
21566,34609,67070
21585,34595,67070
21593,34623,67070
21619,34612,67070
21585,34565,67070
21609,34579,67070
21655,34602,67070
21712,34611,67070
21911,34599,67070
21979,34565,67070
22047,34584,67070
18866,34648,67070
18924,34666,67070
19068,34625,67070
19317,34660,67070
19492,34624,67070
19616,34646,67070
19674,34675,67070
19653,34624,67070
19748,34640,67070
19737,34671,67070
19793,34654,67070
19874,34655,67070
19942,34658,67070
20007,34648,67070
20114,34665,67070
20248,34655,67070
20385,34627,67070
20826,34670,67070
20916,34663,67070
20884,34661,67070
20989,34666,67070
21007,34633,67070
21045,34631,67070
21073,34653,67070
21132,34664,67070
21244,34645,67070
21359,34650,67070
21458,34682,67070
21489,34638,67070
21550,34652,67070
21618,34666,67070
21662,34655,67070
21703,34649,67070
21997,34645,67070
22115,34643,67070
22362,34643,67070
22596,34680,67070
22819,34660,67070
18840,34717,67070
18916,34734,67070
18990,34699,67070
19510,34721,67070
19729,34713,67070
19770,34700,67070
19983,34739,67070
20101,34749,67070
20313,34739,67070
20596,34692,67070
20830,34750,67070
20885,34731,67070
20929,34713,67070
21030,34733,67070
21098,34699,67070
21425,34707,67070
21482,34703,67070
21507,34689,67070
21522,34749,67070
21574,34724,67070
21608,34729,67070
21594,34701,67070
21645,34706,67070
21708,34693,67070
21830,34713,67070
22489,34698,67070
22535,34720,67070
22671,34727,67070
18904,34804,67070
18972,34776,67070
19135,34762,67070
19363,34792,67070
19638,34773,67070
19830,34756,67070
20202,34770,67070
20238,34809,67070
20249,34763,67070
20284,34762,67070
20282,34800,67070
20317,34778,67070
20393,34762,67070
20729,34790,67070
20702,34810,67070
20918,34777,67070
20965,34764,67070
21187,34808,67070
21418,34773,67070
21486,34790,67070
21960,34762,67070
22182,34794,67070
25537,34803,67070
26015,34804,67070
19500,34848,67070
19750,34849,67070
19717,34879,67070
19798,34866,67070
19783,34840,67070
19845,34860,67070
19932,34848,67070
20051,34868,67070
20184,34840,67070
20246,34875,67070
20237,34848,67070
20272,34836,67070
20291,34868,67070
20386,34853,67070
20446,34825,67070
20461,34874,67070
20506,34847,67070
20603,34839,67070
20561,34828,67070
20548,34855,67070
20636,34870,67070
20685,34867,67070
20774,34840,67070
20890,34842,67070
20972,34816,67070
21020,34862,67070
21372,34877,67070
21433,34843,67070
21398,34855,67070
21857,34863,67070
22411,34843,67070
22635,34850,67070
22707,34825,67070
25174,34865,67070
25393,34816,67070
25809,34833,67070
26095,34834,67070
26051,34858,67070
26206,34841,67070
26326,34831,67070
26443,34817,67070
18820,34926,67070
19089,34933,67070
19343,34911,67070
19627,34941,67070
19643,34883,67070
19658,34937,67070
19674,34919,67070
19705,34924,67070
19737,34913,67070
19775,34929,67070
19768,34897,67070
19818,34940,67070
19803,34900,67070
19858,34921,67070
19872,34902,67070
19931,34938,67070
20026,34942,67070
20146,34939,67070
20175,34896,67070
